,quotes,length
2699,"Since God is everywhere alike, He has a spherical form, for He is not here thus and elsewhere different, but is everywhere the same. 
 - HoP 1",142.0
2700,"Since He is eternal and one and spherical in form, He is neither unlimited nor limited. 
 - HoP 1",97.0
2701,"To be unlimited is non-being; for that has neither middle, beginning, end, nor part; and what is unlimited corresponds to this description. 
 - HoP 1",149.0
2702,"But whatever non-being is, Being is not. 
 - HoP 1",50.0
2703,"Mutual limitation would take place if there were several, but since there is only One, it is not limited. 
 - HoP 1",115.0
2704,"The one does not move itself, nor is it unmoved; to be unmoved is non-being, for to it none other comes, nor does it go into another; but to be moved must mean to be several, for one must move into another. 
 - HoP 1",216.0
2705,"Thus the One neither rests nor is it moved, for it is neither non-being nor is it many. 
 - HoP 1",97.0
2706,"In all this God is thus indicated; He is eternal and One, like Himself and spherical, neither unlimited nor limited, neither at rest nor moved. 
 - HoP 1",153.0
2707,"From this result, that nothing can arise from the like or from the unlike, Aristotle  draws this conclusion: that either there is nothing excepting God, or all else is eternal. 
 - HoP 1",186.0
2708,"We here see a dialectic which may be called metaphysical reasoning, in which the principle of identity is fundamental. 
 - HoP 1",128.0
2709,"The nothing is like nothing and does not pass into Being or conversely; thus nothing can originate from like. 
 - HoP 1",119.0
2710,"This, the oldest mode of argument, holds its place even to the present day, as, for example, in the so-called proof of the unity of God. 
 - HoP 1",146.0
2711,"This proceeding consists of making presuppositions such as the power of God, and from them drawing conclusions and denying the existence of predicates; that is the usual course in our mode of reasoning. 
 - HoP 1",212.0
2712,"In respect of determinations, it must be remarked that they, as being negative, are all kept apart from the positive and merely real being. 
 - HoP 1",149.0
2714,"It is the same separation, only that we also allow the finite to be Being, which the Eleatics deny. 
 - HoP 1",109.0
2715,"Or else we too proceed from finite things to kinds and genera, leaving the negative out bit by bit; and the highest order of all is God, who, as the highest Being, is affirmative only, but devoid of any determination. 
 - HoP 1",227.0
2716,"Or we pass from what is finite to the infinite, for we say that the finite as limited must have its basis in the infinite. 
 - HoP 1",132.0
2717,"In all these different forms which are quite familiar to us, there is the same difficult question which exists in reference to the Eleatic thought. 
 - HoP 1",157.0
2719,"For from the one, from Being, the determination of the negative, of the manifold, is withdrawn. 
 - HoP 1",105.0
2722,"For what he thinks to speak most perfectly   He knows that not at all; his own opinions cleave to all. 
 - HoP 1",112.0
2724,"Thus philosophers come into this world as into a great house to seek the truth, but were they to reach it, they could not tell whether they really had attained to it. 
 - HoP 1",176.0
2725,"The indefinite expressions of Xenophanes might also merely mean that none knows that which he  here makes known. 
 - HoP 1",122.0
2726,"In the second passage Sextus puts it thus: Xenophanes does not make all knowledge void, but only the scientific and infallible; opinionative knowledge is, however, left. 
 - HoP 1",179.0
2727,"He expresses this in saying that opinion cleaves to all. 
 - HoP 1",66.0
2728,"So that with him the criterion is made to be opinion, ie the apparent, and not that which is firm and sure; Parmenides, on the contrary, condemns opinion. 
 - HoP 1",164.0
2729,"But from his doctrine of the One, there follows the annihilation of ordinary ideas, which is what he did in the foregoing dialectic; it is evident, however, that nobody could know the truth which he hereby utters. 
 - HoP 1",223.0
2730,"If a thought such as this passed through ones head, one could not tell that it was true, and in such a case it would only be an opinion. 
 - HoP 1",146.0
2731,"We here find in Xenophanes a double consciousness; a pure consciousness and consciousness of Being, and a consciousness of opinion. 
 - HoP 1",141.0
2732,"The former was to him the consciousness of the divine, and it is the pure dialectic, which is negatively related to all that is determined and which annuls it. 
 - HoP 1",169.0
2733,"The manner in which he expresses himself towards the sensuous world and finite thought-determinations is seen most clearly in his allusions to the Greek mythological conceptions of the gods. 
 - HoP 1",200.0
2737,"They are meant to have no speculative significance any more than are those of our own physicists. 
 - HoP 1",107.0
2739,"For Aristotle expressly says, that no one regarded the earth as the absolute principle. 
 - HoP 1",97.0
2740,"Parmenides is a striking figure in the Eleatic school, and he arrives at more definite conceptions than does Xenophanes. 
 - HoP 1",130.0
2741,"He was, according to Diogenes , born at Elea of a rich and honourable race. 
 - HoP 1",85.0
2742,"Of his life, however, little is known; Aristotle only says  from tradition that he was a scholar of Xenophanes. 
 - HoP 1",121.0
2743,"Sextus Empiricus  calls him a friend  of Xenophanes. 
 - HoP 1",62.0
2745,"That the period in which his life falls comes between Xenophanes and Zeno-so that he is contemporaneous with them, though younger than the former and older than the latter-is ascertained. 
 - HoP 1",197.0
2746,"According to Diogenes  he flourished about the 69th Olympiad. 
 - HoP 1",71.0
2747,"What is most important is his journey to Athens with Zeno, where Plato makes them talk with Socrates. 
 - HoP 1",111.0
2748,"This may be accepted generally, but what is strictly historical in it cannot be ascertained. 
 - HoP 1",102.0
2749,"In the ThÃ¦tetus Plato makes Socrates reply to the invitation to examine the Eleatic system: For Melissus and the others who assert the All to be One at rest, I have a certain respect; I have even more for Parmenides. 
 - HoP 1",227.0
2750,"For, to speak in Homeric language, he seems to me both venerable and strong. 
 - HoP 1",86.0
2751,"I knew him when he was an old man and I was still quite young, and I heard wonderful things from him. 
 - HoP 1",111.0
2752,"And in the Platonic Dialogue Parmenides  where, as is well known, the conversation is carried on by Parmenides and Socrates, the historic circumstances of this interview are related in detail. 
 - HoP 1",202.0
2753,"Parmenides was very old, had hair which was quite grey, was beautiful in countenance, about sixty-five years old, and Zeno almost forty. 
 - HoP 1",146.0
2754,"Tennemann  places the journey in the 80th Olympiad. 
 - HoP 1",61.0
2756,"Besides, we know from Parmenides life, that he stood in high respect with his fellow-citizens at Elea, whose prosperity must be chiefly ascribed to the laws which Parmenides gave them. 
 - HoP 1",194.0
2757,"We also find in the ÏÎ¯Î½Î±Î¾ of Cebes  a Parmenidian life  used synonymously with a moral life. 
 - HoP 1",107.0
2758,"It must be remarked that here, where the Eleatic school is definitely treated of, Plato does not speak of Xenophanes at all, but only of Melissus and Parmenides. 
 - HoP 1",171.0
2759,"The fact that Plato, in one of his dialogues, likewise accords the chief part to Parmenides, and puts in his mouth the most lofty dialectic that ever was given, does not concern us here. 
 - HoP 1",196.0
2761,"Sextus Empiricus and Simplicius have preserved to us the most important fragments from the poems of Parmenides; for Parmenides also propounded his philosophy as a poem. 
 - HoP 1",178.0
2762,"The first long fragment in Sextus  is an allegorical preface to his poem on Nature. 
 - HoP 1",93.0
2763,"This preface is majestic; it is written after the manner of the times, and in it all there is an energetic, impetuous soul which strives with Being to grasp and to express it. 
 - HoP 1",185.0
2764,"We can show Parmenides philosophy best in his own words. 
 - HoP 1",66.0
2765,"The introduction runs thus:-    Horses that bore me, impelled by their courage,   Brought me to the much-famed streets of the goddess   Who leads the wise man to every kind of knowledge. 
 - HoP 1",196.0
2766,"Maidens point out the way. 
 - HoP 1",36.0
2767,"The axle sings hot as the daughters of Helios quickly approach,   Leaving the dwelling of night, pressing on to the light,   With mighty hands raising the sheltering veil. 
 - HoP 1",181.0
2768,"The maidens are, according to Sextus , the senses, and Helios daughters are more especially the eyes:-    These are the gates of the pathways of night and of day. 
 - HoP 1",172.0
2769,"Now the heavenly maidens approach the great doors,   Whose lock double-turned the punishing Dice protects. 
 - HoP 1",116.0
2770,"To this one soft words were by the maidens addressed   Subtly persuading her the barriers of oak from the gates,   Now to withdraw. 
 - HoP 1",141.0
2771,"Yet these,   Directly the yawning breadth of the doors was revealed,   Drove the horses and waggon, on through the gate. 
 - HoP 1",130.0
2772,"The goddess received me in friendship, seized with her one hand my         right,   And turning towards me, she said:   Oh, thou, who with guides all immortal and horses,   Camest here in my palace,-be welcome, young man. 
 - HoP 1",231.0
2773,"For no evil fate has led thee into this path,      But Themis and Dice. 
 - HoP 1",81.0
2774,"Now shalt thou all things explore,   The heart never-flinching of the truth that persuades,   The transient opinions which are not to be trusted. 
 - HoP 1",155.0
2775,"But from such paths keep the inquiring soul far away. 
 - HoP 1",63.0
2776,"On this way let not the much followed custom   Cause thee to take the rash eye as thy guide,   Or the confused sounding ear and the tongue. 
 - HoP 1",149.0
2777,"Ponder considerately   With thy reason alone, the doctrine much and often examined,   Which I will proclaim. 
 - HoP 1",118.0
2778,"For there lacks but desire on your way. 
 - HoP 1",49.0
2779,"The goddess develops everything from the double knowledge  of thought, of the truth, and  of opinion; these make up the two parts of the poem. 
 - HoP 1",152.0
2780,"In another fragment taken from Simplicius Commentary on Aristotles Physics  and from Proclus on the TimÃ¦us , we have the principal part of what is here related preserved to us. 
 - HoP 1",187.0
2781,"Understand,  says the goddess, which are the two roads of knowledge. 
 - HoP 1",78.0
2782,"The one which is only Being, and which is not non-being, is the path of conviction, the truth is in it. 
 - HoP 1",113.0
2783,"The other that is not Being, and which is necessarily non-being, is, I must tell you, a path quite devoid of reason, for thou canst neither know, or attain to, or express, non-being. 
 - HoP 1",192.0
2784,"The nothing, in fact, turns into something, since it is thought or is said: we say something, think something, if we wish to think and say the nothing. 
 - HoP 1",161.0
2785,"It is necessary that saying and thinking should be Being; for Being is, but nothing is not at all. 
 - HoP 1",108.0
2786,"There the matter is stated in brief; and in this nothing, falls negation generally, or in more concrete form, limitation, the finite, restriction: determinatio est negatio is Spinozas great saying. 
 - HoP 1",207.0
2787,"Parmenides says, whatever form the negation may take, it does not exist at all. 
 - HoP 1",89.0
2788,"To consider the nothing as the true is the way of error in which the ignorant and double-minded mortals wander. 
 - HoP 1",121.0
2789,"Perplexity of mind sways the erring sense. 
 - HoP 1",52.0
2790,"Those who believe Being and non-being to be the same, and then again not the same, are like deaf and blind men surprised, like hordes confusedly driven. 
 - HoP 1",162.0
2791,"The error is to confuse them and to ascribe the same value to each, or to distinguish them as if non-being were the limited generally. 
 - HoP 1",144.0
2792,"Whichever way is taken, it leads back to the point from which it started. 
 - HoP 1",83.0
2793,"It is a constantly self-contradictory and disintegrating movement. 
 - HoP 1",76.0
2794,"To human ideas, now this is held to be reality and now its opposite, and then again a mixture of both. 
 - HoP 1",112.0
2796,"For what birth wouldst thou seek for it? How and whence should it be augmented? That it should be from that which is not, I shall allow thee neither to say nor to think, for neither can it be said or thought that the is is not. 
 - HoP 1",237.0
2797,"What necessity had either later or earlier made it begin from the nothing? Thus must it throughout only be or not be; nor will any force of conviction ever make something else arise out of that which is not. 
 - HoP 1",217.0
2798,"Thus origination has disappeared, and decease is incredible. 
 - HoP 1",70.0
2799,"Being is not separable, for it is entirely like itself; it is nowhere more, else would it not hold together, nor is it less, for everything is full of Being. 
 - HoP 1",167.0
2800,"The all is one coherent whole, for Being flows into unison with Being: it is unchangeable and rests securely in itself; the force of necessity holds it within the bounds of limitation. 
 - HoP 1",194.0
2801,"It cannot hence be said that it is imperfect; for it is without defect, while non-existence is wanting in all. 
 - HoP 1",120.0
2802,"This Being is not the undetermined  for it is kept within the limits of necessity; we similarly find in Aristotle that limitation is ascribed to Parmenides. 
 - HoP 1",166.0
2803,"The sense in which the expression limit  is to be taken is uncertain. 
 - HoP 1",79.0
2804,"According to Parmenides, however, this absolute limitation is as ÎÎ¯ÎºÎ·, absolute necessity clearly determined in itself; and it is an important fact that he went beyond the uncultured conception of the infinite. 
 - HoP 1",224.0
2805,"Thought, and that on account of which thought is, are the same. 
 - HoP 1",73.0
2806,"For not without that which is, in which it expresses itself , wilt thou find Thought, seeing that it is nothing and will be nothing outside of that which is. 
 - HoP 1",167.0
2807,"That is the main point. 
 - HoP 1",33.0
2808,"Thought produces itself, and what is produced is a Thought. 
 - HoP 1",69.0
2809,"Thought is thus identical with Being, for there is nothing beside Being, this great affirmation. 
 - HoP 1",106.0
2810,"Plotinus, in quoting  this last fragment says: Parmenides adopted this point of view, inasmuch as he did not place Being in sensuous things; identifying Being with Thought, he maintained it to be unchangeable. 
 - HoP 1",219.0
2811,"The Sophists concluded from this: All is truth; there is no error, for error is the non-existent, that which is not to be thought. 
 - HoP 1",140.0
2812,"Since in this an advance into the region of the ideal is observable, Parmenides began Philosophy proper. 
 - HoP 1",114.0
2813,"A man now constitutes himself free from all ideas and opinions, denies their truth, and says necessity alone, Being, is the truth. 
 - HoP 1",140.0
2814,"This beginning is certainly still dim and indefinite, and we cannot say much of what it involves; but to take up this position certainly is to develop Philosophy proper, which has not hitherto existed. 
 - HoP 1",211.0
2815,"The dialectic that the transient has no truth, is implied in it, for if these determinations are taken as they are usually understood, contradictions ensue. 
 - HoP 1",166.0
2816,"In Simplicius  we have further metaphorical images from Parmenides. 
 - HoP 1",77.0
2817,"Since the utmost limit of Being is perfect, it resembles on every side the form of a well rounded sphere, which from its centre extends in all directions equally, for it can be neither larger or smaller in one part or another. 
 - HoP 1",236.0
2818,"There is no non-being which prevents it from attaining to the like -from coming into unity with itself-and there is no Being where it was devoid of Being, here more and there less. 
 - HoP 1",190.0
2819,"Because the all is without defect, it is in all places in the same way like itself in its determinations. 
 - HoP 1",115.0
2820,"Plotinus in the passage quoted says: He compares Being with the spherical form, because it comprehends all in itself, and Thought is not outside of this, but is contained in it. 
 - HoP 1",187.0
2821,"And Simplicius says: We must not wonder at him, for on account of the poetic form, he adopts a mythological fiction. 
 - HoP 1",126.0
2823,"Parmenides adds to this doctrine of the truth, the doctrine of human opinions, the illusive system of the world. 
 - HoP 1",122.0
2824,"Simplicius, writing on Aristotles Physics , tells us that he says: Men have two forms of opinion, one of which should not be, and in it they are mistaken; they set them in opposition to one another in form and symbol. 
 - HoP 1",227.0
2826,"By the former, warmth, softness, lightness is expressed, and by the latter, cold. 
 - HoP 1",91.0
2827,"But since everything is called light and night, and their qualities are suited both to the one kind of things and the other, everything alike is filled with light and dark night; both are alike since nothing exists without both. 
 - HoP 1",238.0
2828,"Aristotle , and the other historians, likewise unanimously attribute to Parmenides the fact that he sets forth two principles for the system of manifest things, warmth and cold, through the union of which everything is. 
 - HoP 1",229.0
2829,"Light, fire, is the active and animate; night, cold, is called the passive. 
 - HoP 1",85.0
2831,"Those which are less are of impure fire, but those over them of night, through which proceed the forces of the flames. 
 - HoP 1",128.0
2832,"That which holds this all together, however, is something fixed, like a wall, under which there is a fiery wreath, and the most central of the rare spheres again is fiery. 
 - HoP 1",181.0
2833,"The most central of those mixed is the goddess that reigns over all, the Divider , Dice and Necessity. 
 - HoP 1",112.0
2834,"For she is the principle of all earthly produce and intermingling, which impels the male to mix with the female, and conversely; she took Love to help her, creating him first amongst the gods. 
 - HoP 1",202.0
2836,"Theophrastus,55 for example, remarks in this regard: Parmenides said nothing more than that there are two elements. 
 - HoP 1",125.0
2841,"In fact, this view of Parmenides is really the opposite of materialism, for materialism consists in putting together the soul from parts, or independent forces. 
 - HoP 1",170.0
2842,"There is little to tell about the life of Melissus. 
 - HoP 1",61.0
2843,"Diogenes Laertius  calls him a disciple of Parmenides, but the discipleship is uncertain; it is also said of him that he associated with Heraclitus. 
 - HoP 1",158.0
2844,"He was born in Samos, like Pythagoras, and was besides a distinguished statesman amongst his people. 
 - HoP 1",110.0
2845,"It is said by Plutarch  that, as admiral of the Samians, he gained in battle a victory over the Athenians. 
 - HoP 1",116.0
2846,"He flourished about the 84th Olympiad. 
 - HoP 1",48.0
2847,"In regard to his philosophy, too, there is little to say. 
 - HoP 1",67.0
2848,"Aristotle, where he mentions him, places him always with Parmenides, as resembling him in mode of thought. 
 - HoP 1",116.0
2849,"Simplicius, writing on Aristotles Physics , has preserved several fragments of his prose writings on Nature, which show the same kind of thoughts and arguments as we find in Parmenides, but, in part, somewhat more developed. 
 - HoP 1",234.0
2851,"Since the beginning, in which we are told whose reasoning it is, is wanting, conjecture only applies it to Xenophanes. 
 - HoP 1",128.0
2852,"The writing begins with the words He says,  without any name being given. 
 - HoP 1",83.0
2853,"It thus depends on the superscription alone whether Aristotle speaks of the philosophy of Xenophanes or not, and it must be noticed that different hands have put different superscriptions. 
 - HoP 1",198.0
2854,"Indeed, there is in this work  an opinion of Xenophanes mentioned in such a way that it appears as though had what was previously quoted by Aristotle been by him ascribed to Xenophanes, the expression would have been different. 
 - HoP 1",237.0
2855,"It is possible that Zeno is meant, as the internal evidence abundantly shows. 
 - HoP 1",87.0
2856,"There is in it a dialectic more developed in form, more real reflexion, than from the verses could be expected, not from Xenophanes alone, but even from Parmenides. 
 - HoP 1",174.0
2858,"We find it said:-  If anything is, it is eternal. 
 - HoP 1",59.0
2860,"It is, origination and change are shut out; if it commences, it does so out of nothing or out of Being. 
 - HoP 1",113.0
2861,"It is impossible that anything should arise from the nothing. 
 - HoP 1",71.0
2862,"If everything could have arisen, or could it merely not have been everything eternally, it would equally have arisen out of nothing. 
 - HoP 1",142.0
2863,"For, if everything had arisen, nothing would once have existed. 
 - HoP 1",73.0
2864,"If some were alone the existent out of which the rest sprang, the one would be more and greater. 
 - HoP 1",106.0
2865,"But the more and greater would thus have arisen out of the nothing of itself, for in the less there is not its more, nor in the smaller its greater. 
 - HoP 1",158.0
2866,"Simplicius makes this note to the Physics of Aristotle : No more can anything arise out of the existent, for the existent already is, and thus does not first arise from the existent. 
 - HoP 1",192.0
2867,"As eternal, the existent also is unlimited, since it has no beginning from which it came, nor end in which it ceases. 
 - HoP 1",127.0
2868,"The infinite all is one, for, if there were two or more, they would limit one another,  and thus have a beginning and end. 
 - HoP 1",132.0
2869,"The one would be the nothing of the other and come forth from this nothing. 
 - HoP 1",85.0
2870,"This one is like itself; for if it were unlike it would no longer be the one that was posited, but many. 
 - HoP 1",114.0
2871,"This one is likewise immovable, inasmuch as it does not move itself, since it does not pass out into anything. 
 - HoP 1",120.0
2872,"In passing out, it would require to do so into what is full or what is empty; it could not be into the full, for that is an impossibility, and just as little could it be into what is empty, for that is the nothing. 
 - HoP 1",224.0
2873,"The one, therefore, is in this way devoid of pain or suffering, not changing in position or form, or mingling with what is different. 
 - HoP 1",143.0
2874,"For all these determinations involve the origination of non-being and passing away of Being, which is impossible. 
 - HoP 1",123.0
2875,"Thus here again the contradiction which takes place when origination and passing away are spoken of, is revealed. 
 - HoP 1",123.0
2876,"Now Melissus places opinion in opposition to this truth. 
 - HoP 1",66.0
2878,"In sensuous perception the opposite is present for us; that is to say, a number of things, their change, their origination and passing away, and their intermingling. 
 - HoP 1",175.0
2879,"Thus that first knowledge must take its place beside this second, which has as much certainty for ordinary consciousness as the first. 
 - HoP 1",144.0
2881,"This is what Aristotle says of him. 
 - HoP 1",45.0
2885,"But when Parmenides speaks of limit, we see that his poetic language is not altogether exact; limit, however, as pure limit, is just simple Being and absolute negativity, in which all else said and set forth is sublated. 
 - HoP 1",230.0
2886,"Necessity, as this pure negativity and movement within itself, although impassive thought, is absolutely bound to its opposite. 
 - HoP 1",137.0
2887,"In the third place it may be said that Parmenides set forth a concomitant philosophy of opinion or reality, to which Being as existence for thought was thus more opposed than was the case with Melissus. 
 - HoP 1",212.0
2889,"That is to say, in the Eleatics hitherto considered, we only have the proposition: The nothing has no reality and is not at all, and thus what is called origin and decease disappears. 
 - HoP 1",193.0
2891,"Parmenides asserts that The all is immutable, for, in change, the non-being of that which is would be asserted, but Being only is; in saying that non-being is, the subject and the predicate contradict themselves. 
 - HoP 1",222.0
2892,"Zeno, on the other hand, says: Assert your change; in it as change there is the negation to it, or it is nothing. 
 - HoP 1",123.0
2893,"To the former change existed as motion, definite and complete. 
 - HoP 1",72.0
2894,"Zeno protested against motion as such, or pure motion. 
 - HoP 1",64.0
2895,"Pure Being is not motion; it is rather the negation of motion. 
 - HoP 1",72.0
2897,"Zeno anticipated this, and because he foresaw that Being is the opposite of nothing, he denied of the One what must be said of the nothing. 
 - HoP 1",149.0
2898,"But the same thing must occur with all the rest. 
 - HoP 1",58.0
2899,"We find this higher dialectic in Platos Parmenides; here it only breaks forth in respect to some determinations, and not to the determination of the One and of Being. 
 - HoP 1",176.0
2901,"According to Diogenes Laertius,  Zeno was likewise an Eleat; he is the youngest, and lived most in company with Parmenides. 
 - HoP 1",133.0
2902,"The latter became very fond of him and adopted him as a son; his own father was called Telentagoras. 
 - HoP 1",110.0
2903,"Not in his State alone was his conduct held in high respect, for his fame was universal, and he was esteemed particularly as a teacher. 
 - HoP 1",145.0
2904,"Plato mentions that men came to him from Athens and other places, in order to profit from his learning. 
 - HoP 1",113.0
2905,"Proud self-sufficiency is ascribed to him by Diogenes  because he-with the exception of a journey made to Athens-continued to reside in Elea, and did not stay a longer time in the great, mighty Athens, and there attain to fame. 
 - HoP 1",237.0
2906,"In very various narratives his death was made for ever celebrated for the strength of his mind evinced in it; it was said that he freed a State  from its Tyrant  in the following way, and by the sacrifice of his life. 
 - HoP 1",227.0
2907,"He entered into a plot to overthrow the Tyrant, but this was betrayed. 
 - HoP 1",80.0
2909,"The powerful remonstrances or the horrible tortures and death of Zeno aroused the citizens, inspired them with courage to fall upon the Tyrant, kill him, and liberate themselves. 
 - HoP 1",188.0
2910,"The manner of the end, and his violent and furious state of mind, is very variously depicted. 
 - HoP 1",103.0
2911,"He is said to have pretended to wish to say something into the Tyrants ear, and then to have bitten his ear, and thus held him fast until he was slain by the others. 
 - HoP 1",175.0
2913,"It has just been noticed that Zeno had the very important character of being the originator of the true objective dialectic. 
 - HoP 1",134.0
2914,"Xenophanes, Parmenides, and Melissus, start with the proposition: Nothing is nothing; the nothing does not exist at all, or the like is real existence,  that is, they make one of the opposed predicates to be existence. 
 - HoP 1",228.0
2916,"We have proceeded from a definite proposition; the nullity of the opposite does not appear in itself; it is not that it abrogates itself, ie that it contains a contradiction in itself. 
 - HoP 1",194.0
2917,"For instance, I assert of something that it is the null; then I show this by hypothesis in motion, and it follows that it is the null. 
 - HoP 1",144.0
2918,"But another consciousness does not assert this; I declare one thing to be directly true; another has the right of asserting something else as directly true, that is to say, motion. 
 - HoP 1",190.0
2919,"Similarly what seems to be the case when one philosophic system contradicts another, is that the first is pre-established, and that men starting from this point of view, combat the other. 
 - HoP 1",197.0
2920,"The matter is thus easily settled by saying: The other has no truth, because it does not agree with me,  and the other has the right to say the same. 
 - HoP 1",159.0
2921,"It does not help if I prove my system or my proposition and then conclude that thus the opposite is false; to this other proposition the first always seems to be foreign and external. 
 - HoP 1",193.0
2922,"Falsity must not be demonstrated through another, and as untrue because the opposite is true, but in itself; we find this rational perception in Zeno. 
 - HoP 1",160.0
2924,"Parmenides thus shows in his poems that All is One; Zeno, on the contrary, shows that the Many cannot be. 
 - HoP 1",115.0
2926,"That is the special aim of objective dialectic, in which we no longer maintain simple thought for itself, but see the battle fought with new vigour within the enemys camp. 
 - HoP 1",181.0
2927,"Dialectic has in Zeno this negative side, but it has also to be considered from its positive side. 
 - HoP 1",108.0
2928,"According to the ordinary ideas of science, where propositions result from proof, proof is the movement of intelligence, a connection brought about by mediation. 
 - HoP 1",171.0
2932,"In regarding it thus, it shows from itself that it contains opposed determinations, and thus breaks up; this dialectic we more especially find in the ancients. 
 - HoP 1",169.0
2933,"The subjective dialectic, which reasons from external grounds, is moderate, for it grants that: In the right there is what is not right, and in the false the true. 
 - HoP 1",173.0
2934,"True dialectic leaves nothing whatever to its object, as if the latter were deficient on one side only; for it disintegrates itself in the entirety of its nature. 
 - HoP 1",172.0
2935,"The result of this dialectic is null, the negative; the affirmative in it does not yet appear. 
 - HoP 1",104.0
2936,"This true dialectic may be associated with the work of the Eleatics. 
 - HoP 1",78.0
2937,"But in their case the real meaning and quality of philosophic understanding was not great, for they got no further than the fact that through contradiction the object is a nothing. 
 - HoP 1",190.0
2938,"Zenos dialectic of matter has not been refuted to the present day; even now we have not got beyond it, and the matter is left in uncertainty. 
 - HoP 1",151.0
2939,"Simplicius, writing on the Physics of Aristotle , says: Zeno proves that if the many is, it must be great and small; if great, the many must be infinite in number. 
 - HoP 1",173.0
2940,"If small, it must be so small as to have no size,  like atoms. 
 - HoP 1",72.0
2941,"Here he shows that what has neither size, thickness nor mass, cannot be. 
 - HoP 1",82.0
2942,"For if it were added to another, it would not cause its increase; were it, that is to say, to have no size and be added thereto, it could not supplement the size of the other and consequently that which is added is nothing. 
 - HoP 1",233.0
2943,"Similarly were it taken away, the other would not be made less, and thus it is nothing. 
 - HoP 1",97.0
2945,"But it is the same thing to say something once and to say it over and over again; in it nothing can be a last, nor will there not be another to the other. 
 - HoP 1",164.0
2946,"Thus if many are, they are small and great; small, so that they have no size; great, so that they are infinite. 
 - HoP 1",121.0
2947,"Aristotle  explains this dialectic further; Zenos treatment of motion was above all objectively dialectical. 
 - HoP 1",118.0
2948,"But the particulars which we find in the Parmenides of Plato are not his. 
 - HoP 1",83.0
2949,"For Zenos consciousness we see simple unmoved thought disappear, but become thinking movement; in that he combats sensuous movement, he concedes it. 
 - HoP 1",158.0
2950,"The reason that dialectic first fell on movement is that the dialectic is itself this movement, or movement itself the dialectic of all that is. 
 - HoP 1",154.0
2951,"The thing, as self-moving, has its dialectic in itself, and movement is the becoming another, self-abrogation. 
 - HoP 1",120.0
2952,"If Aristotle says that Zeno denied movement because it contains an inner contradiction, it is not to be understood to mean that movement did not exist at all. 
 - HoP 1",168.0
2953,"The point is not that there is movement and that this phenomenon exists; the fact that there is movement is as sensuously certain as that there are elephants; it is not in this sense that Zeno meant to deny movement. 
 - HoP 1",226.0
2954,"The point in question concerns its truth. 
 - HoP 1",51.0
2955,"Movement, however, is held to be untrue, because the conception of it involves a contradiction; by that he meant to say that no true Being can be predicated of it. 
 - HoP 1",173.0
2957,"Zeno now brings forward four different arguments against motion; the proofs rest on the infinite divisibility of space and time. 
 - HoP 1",138.0
2958,"This is his first form of argument:-Movement has no truth, because what is in motion must first reach the middle of the space before arriving at the end. 
 - HoP 1",163.0
2959,"Aristotle expresses this thus shortly, because he had earlier treated of and worked out the subject at length. 
 - HoP 1",120.0
2960,"This is to be taken as indicating generally that the continuity of space is presupposed. 
 - HoP 1",98.0
2961,"What moves itself must reach a certain end, this way is a whole. 
 - HoP 1",74.0
2963,"Zeno here arrives at the infinite divisibility of space; because space and time are absolutely continuous, there is no point at which the division can stop. 
 - HoP 1",166.0
2964,"Every dimension  is again divisible into two halves, which must be measured off; and however small a space we have, the same conditions reappear. 
 - HoP 1",155.0
2965,"Movement would be the act of passing through these infinite moments, and would therefore never end; thus what is in motion cannot reach its end. 
 - HoP 1",154.0
2966,"It is known how Diogenes of Sinope, the Cynic, quite simply refuted these arguments against movement; without speaking he rose and walked about, contradicting them by action. 
 - HoP 1",184.0
2967,"But when reasons are disputed, the only valid refutation is one derived from reasons; men have not merely to satisfy themselves by sensuous assurance, but also to understand. 
 - HoP 1",184.0
2970,"Movement, this pure phenomenon, appears as something thought and shown forth in its real being-that is, in its distinction of pure self-identity and pure negativity, the point as distinguished from continuity. 
 - HoP 1",219.0
2971,"To us there is no contradiction in the idea that the here of space and the now of time are considered as a continuity and length; but their Notion is self-contradictory. 
 - HoP 1",179.0
2974,"Movement is just the reality of time and space, and because this appears and is made manifest, the apparent contradiction is demonstrated, and it is this contradiction that Zeno notices. 
 - HoP 1",196.0
2976,"In that we say into infinity,  we place before ourselves a beyond, outside of the ordinary conception, which cannot reach so far. 
 - HoP 1",139.0
2977,"It is certainly an endless going forth, but in the Notion it is present, it is a progression from one opposed determination to others, from continuity to negativity, from negativity to continuity; but both of these are before us. 
 - HoP 1",239.0
2978,"Of these moments one in the process may be called the true one; Zeno first asserts continuous progression in such a way that no limited space can be arrived at as ultimate, or Zeno upholds progression in this limitation. 
 - HoP 1",230.0
2979,"The general explanation which Aristotle gives to this contradiction, is that space and time are not infinitely divided, but are only divisible. 
 - HoP 1",153.0
2980,"But it now appears that, because they are divisible-that is, in potentiality-they must actually be infinitely divided, for else they could not be divided into infinity. 
 - HoP 1",178.0
2981,"That is the general answer of the ordinary man in endeavouring to refute the explanation of Aristotle. 
 - HoP 1",112.0
2982,"Bayle  hence says of Aristotles answer that it is pitoyable: Cest se moquer du monde que de se servir de cette doctrine; car si la matiÃ¨re est divisible Ã  linfini, elle contient un nombre infini de parties. 
 - HoP 1",218.0
2983,"Ce nest donc point un infini en puissance, cest un infini, qui existe rÃ©ellement, actuellement. 
 - HoP 1",106.0
